ID,Name,Latex
-23224,Sigma(1910)~,\overline{\Sigma}(1940)^{-}
30113,rho(1700),\rho(1700)^{0}
30213,rho(1700),\rho(1700)^{+}
-30213,rho(1700)~,\rho(1700)^{-}
30223,omega(1650),\omega(1650)
30313,K*(1680),K^{*}(1680)^{0}
-30313,K*(1680)~,\overline{K}^{*}(1680)^{0}
30323,K*(1680),K^{*}(1680)^{+}
-30323,K*(1680)~,K^{*}(1680)^{-}
30443,psi(3770),\psi(3770)
31114,Delta(1600),\Delta(1600)^{-}
-31114,Delta(1600)~,\overline{\Delta}(1600)^{+}
31214,N(1720),N(1720)^{0}
-31214,N(1720)~,\overline{N}(1720)^{0}
32112,N(1650),N(1650)^{0}
-32112,N(1650)~,\overline{N}(1650)^{0}
32114,Delta(1600),\Delta(1600)^{0}
-32114,Delta(1600)~,\overline{\Delta}(1600)^{0}
32124,N(1720),N(1720)^{+}
-32124,N(1720)~,\overline{N}(1720)^{-}
32212,N(1650),N(1650)^{+}
-32212,N(1650)~,\overline{N}(1650)^{-}
32214,Delta(1600),\Delta(1600)^{+}
-32214,Delta(1600)~,\overline{\Delta}(1600)^{-}
32224,Delta(1600),\Delta(1600)^{++}
-32224,Delta(1600)~,\overline{\Delta}(1600)^{--}
33122,Lambda(1670),\Lambda(1670)
-33122,Lambda(1670)~,\overline{\Lambda}(1670)
42112,N(1710),N(1710)^{0}
-42112,N(1710)~,\overline{N}(1710)^{0}
42212,N(1710),N(1710)^{+}
-42212,N(1710)~,\overline{N}(1710)^{-}
43122,Lambda(1800),\Lambda(1800)
-43122,Lambda(1800)~,\overline{\Lambda}(1800)
53122,Lambda(1810),\Lambda(1810)
-53122,Lambda(1810)~,\overline{\Lambda}(1810)
100111,pi(1300),\pi(1300)^{0}
100113,rho(1450),\rho(1450)^{0}
100211,pi(1300),\pi(1300)^{+}
-100211,pi(1300)~,\pi(1300)^{-}
100213,rho(1450),\rho(1450)^{+}
-100213,rho(1450)~,\rho(1450)^{-}
100221,eta(1295),\eta(1295)
100313,K*(1410),K^{*}(1410)^{0}
-100313,K*(1410)~,\overline{K}^{*}(1410)^{0}
100321,K(1460),K(1460)^{+}
-100321,K(1460)~,K(1460)^{-}
100323,K*(1410),K^{*}(1410)^{+}
-100323,K*(1410)~,K^{*}(1410)^{-}
100331,eta(1475),\eta(1475)
100333,phi(1680),\phi(1680)
100441,eta(c)(2S),\eta_{c}(2S)
100443,psi(2S),\psi(2S)
100445,chi(c2)(3930),\chi_{c2}(2P)
100553,Upsilon(2S),\Upsilon(2S)
100555,chi(b2)(2P),\chi_{b2}(2P)
103316,Xi(1950),\Xi(1950)^{-}
-103316,Xi(1950)~,\overline{\Xi}(1950)^{+}
103326,Xi(1950),\Xi(1950)^{0}
-103326,Xi(1950)~,\overline{\Xi}(1950)^{0}
104122,Lambda(c)(2625),\Lambda_{c}(2625)^{+}
-104122,Lambda(c)(2625)~,\overline{\Lambda}_{c}(2625)^{-}
104312,Xi(c)(2815),\Xi_{c}(2815)^{0}
-104312,Xi(c)(2815)~,\overline{\Xi}_{c}(2815)^{0}
104314,Xi(c)(2790),\Xi_{c}(2790)^{0}
-104314,Xi(c)(2790)~,\overline{\Xi}_{c}(2790)^{0}
104322,Xi(c)(2815),\Xi_{c}(2815)^{+}
-104322,Xi(c)(2815)~,\overline{\Xi}_{c}(2815)^{-}
104324,Xi(c)(2790),\Xi_{c}(2790)^{+}
-104324,Xi(c)(2790)~,\overline{\Xi}_{c}(2790)^{-}
110551,chi(b0)(2P),\chi_{b0}(2P)
120553,chi(b1)(2P),\chi_{b1}(2P)
200553,Upsilon(3S),\Upsilon(3S)
203312,Xi(1690),\Xi(1690)^{-}
-203312,Xi(1690)~,\overline{\Xi}(1690)^{+}
203316,Xi(2030),\Xi(2030)^{-}
-203316,Xi(2030)~,\overline{\Xi}(2030)^{+}
203322,Xi(1690),\Xi(1690)^{0}
-203322,Xi(1690)~,\overline{\Xi}(1690)^{0}
203326,Xi(2030),\Xi(2030)^{0}
-203326,Xi(2030)~,\overline{\Xi}(2030)^{0}
203338,Omega(2250),\Omega(2250)^{-}
-203338,Omega(2250)~,\overline{\Omega}(2250)^{+}
204126,Lambda(c)(2880),\Lambda_{c}(2880)^{+}
-204126,Lambda(c)(2880)~,\overline{\Lambda}_{c}(2880)^{-}
300553,Upsilon(4S),\Upsilon(4S)
1000223,omega(1420),\omega(1420)
9000111,a(0)(980),a_{0}(980)^{0}
9000113,pi(1)(1400),\pi_{1}(1400)^{0}
9000115,a(2)(1700),a_{2}(1700)^{0}
9000211,a(0)(980),a_{0}(980)^{+}
-9000211,a(0)(980)~,a_{0}(980)^{-}
9000213,pi(1)(1400),\pi_{1}(1400)^{+}
-9000213,pi(1)(1400)~,\pi_{1}(1400)^{-}
9000215,a(2)(1700),a_{2}(1700)^{+}
-9000215,a(2)(1700)~,a_{2}(1700)^{-}
9000221,f(0)(500),f_{0}(500)
9000311,K(0)*(700),K_{0}^{*}(700)^{0}
-9000311,K(0)*(700)~,\overline{K}_{0}^{*}(700)^{0}
9000313,K(1)(1650),K_{1}(1650)^{0}
-9000313,K(1)(1650)~,\overline{K}_{1}(1650)^{0}
9000321,K(0)*(700),K_{0}^{*}(700)^{+}
-9000321,K(0)*(700)~,K_{0}^{*}(700)^{-}
9000323,K(1)(1650),K_{1}(1650)^{+}
-9000323,K(1)(1650)~,K_{1}(1650)^{-}
9000325,K(2)(1580),K_{2}(1580)^{+}
-9000325,K(2)(1580)~,K_{2}(1580)^{-}
9000329,K(4)(2500),K_{4}(2500)^{+}
-9000329,K(4)(2500)~,K_{4}(2500)^{-}
9000443,psi(4040),\psi(4040)
9000553,Upsilon(10860),\Upsilon(10860)
9010111,pi(1800),\pi(1800)^{0}
9010113,pi(1)(1600),\pi_{1}(1600)^{0}
9010211,pi(1800),\pi(1800)^{+}
-9010211,pi(1800)~,\pi(1800)^{-}
9010213,pi(1)(1600),\pi_{1}(1600)^{+}
-9010213,pi(1)(1600)~,\pi_{1}(1600)^{-}
9010221,f(0)(980),f_{0}(980)
9010315,K(2)*(1980),K_{2}^{*}(1980)^{0}
-9010315,K(2)*(1980)~,\overline{K}_{2}^{*}(1980)^{0}
9010321,K(1830),K(1830)^{+}
-9010321,K(1830)~,K(1830)^{-}
9010325,K(2)*(1980),K_{2}^{*}(1980)^{+}
-9010325,K(2)*(1980)~,K_{2}^{*}(1980)^{-}
9010327,K(3)(2320),K_{3}(2320)^{+}
-9010327,K(3)(2320)~,K_{3}(2320)^{-}
9010443,psi(4160),\psi(4160)
9010553,Upsilon(11020),\Upsilon(11020)
9020113,a(1)(1640),a_{1}(1640)^{0}
9020213,a(1)(1640),a_{1}(1640)^{+}
-9020213,a(1)(1640)~,a_{1}(1640)^{-}
9020221,eta(1405),\eta(1405)
9020321,K(0)*(1950),K_{0}^{*}(1950)^{+}
-9020321,K(0)*(1950)~,K_{0}^{*}(1950)^{-}
9020325,K(2)(2250),K_{2}(2250)^{+}
-9020325,K(2)(2250)~,K_{2}(2250)^{-}
9020443,psi(4415),\psi(4415)
9030221,f(0)(1500),f_{0}(1500)
9050225,f(2)(1950),f_{2}(1950)
9060225,f(2)(2010),f_{2}(2010)
9080225,f(2)(2300),f_{2}(2300)
9090225,f(2)(2340),f_{2}(2340)
